2020,"JUnit in Action, Third Edition",Cătălin Tudose|Petar Tahchiev|Felipe Leme|Vincent Massol|Gary Gregory,9781617297045
2020,Seriously Good Software,Marco Faella,9781617296291
2021,"Spring Microservices in Action, Second Edition",John Carnell|Illary Huaylupo Sánchez,9781617296956
2017,Kafka in Action,Dylan Scott,9781617295232
